,Beach,Beach Latitude,Beach Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Playa Barra del Colorado,8.51584085,-83.13636745062689,Sol Y Mar,8.519452,-83.1380895527337,Restaurant
1,Playa Barra del Colorado,8.51584085,-83.13636745062689,Cabinas Sol y Mar,8.519858522313317,-83.13804570671184,Bed & Breakfast
2,Playa Bonita,10.0098609,-83.06345966834189,Quimbamba,10.010374023796611,-83.06401580143783,Caribbean Restaurant
3,Playa Bonita,10.0098609,-83.06345966834189,Restaurante Cocorí,10.008688006590136,-83.06125319921588,Caribbean Restaurant
4,Playa Bonita,10.0098609,-83.06345966834189,Playa Bonita,10.00972658824152,-83.06382538128922,Beach
5,Playa Bonita,10.0098609,-83.06345966834189,Hotel Playa Bonita,10.008680346072413,-83.06126911935334,Bed & Breakfast
6,Playa Bonita,10.0098609,-83.06345966834189,Cocorí Bar Restaurant,10.008747033454899,-83.06129257276865,Caribbean Restaurant
7,Playa Bonita,10.0098609,-83.06345966834189,Junitos,10.010976,-83.063887,Caribbean Restaurant
8,Playa Bonita,10.0098609,-83.06345966834189,Reina's,10.009710349759548,-83.0638384161517,Seafood Restaurant
9,Playa Bonita,9.63627615,-82.71756313437658,Namuwoki Lodge,9.63785144658659,-82.71329117494939,Hotel
10,Playa Bonita,9.63627615,-82.71756313437658,Casa Moabi,9.637707488346718,-82.71637556706526,Hotel
11,Playa Bonita,9.63627615,-82.71756313437658,Casa Merlin lodge,9.639891,-82.717618,Hotel
12,Playa Bonita,9.63627615,-82.71756313437658,Hotel Sibu,9.638832157637383,-82.71410956849041,Bed & Breakfast
13,Playa Bonita,9.64527615,-82.72656313437658,Le Caméléon Beach Club,9.64450980520121,-82.72789137614785,Surf Spot
14,Playa Bonita,9.64527615,-82.72656313437658,Le Cameleon,9.64419618708729,-82.72835503128431,Hotel
15,Playa Bonita,9.64527615,-82.72656313437658,La Pecora Nera,9.64370611798381,-82.72942855238381,Italian Restaurant
16,Playa Bonita,9.64527615,-82.72656313437658,Lanna Ban hotel,9.642915218437176,-82.72486975163706,Hotel
17,Playa Bonita,9.64527615,-82.72656313437658,Jaguar Rescue Center,9.642472378486188,-82.72354194694158,Zoo
18,Playa Bonita,9.64527615,-82.72656313437658,La Nena,9.644587,-82.729907,Caribbean Restaurant
19,Playa Bonita,9.64527615,-82.72656313437658,Villas Del Caribe,9.643558307481516,-82.7226666902315,Hotel
20,Playa Bonita,9.64527615,-82.72656313437658,Caribe Town Resort,9.642972823209885,-82.72844090996396,Resort
21,Playa Bonita,9.64527615,-82.72656313437658,Noa Beach Club,9.644615,-82.727807,Restaurant
22,Playa Bonita,9.64527615,-82.72656313437658,Hotel Casa Camarona,9.645021343814241,-82.72871163221778,Hotel
23,Playa Bonita,9.64527615,-82.72656313437658,Le Numu,9.64402683580281,-82.72807850538591,Latin American Restaurant
24,Playa Bonita,9.64527615,-82.72656313437658,El Rincón Porteño,9.642872,-82.723444,Argentinian Restaurant
25,Playa Cahuita (Blanca),8.51584085,-83.13636745062689,Sol Y Mar,8.519452,-83.1380895527337,Restaurant
26,Playa Cahuita (Blanca),8.51584085,-83.13636745062689,Cabinas Sol y Mar,8.519858522313317,-83.13804570671184,Bed & Breakfast
27,Playa Chiquita,9.637402699999999,-82.70366899999999,Chocolateria y Cafe,9.637394,-82.706469,Coffee Shop
28,Playa Chiquita,9.637402699999999,-82.70366899999999,Restaurant Selvin's,9.636347462755674,-82.69980040824089,Caribbean Restaurant
29,Playa Chiquita,9.637402699999999,-82.70366899999999,Selvin's Restaurant,9.636346089666644,-82.69972553999573,Caribbean Restaurant
30,Playa Chiquita,9.637402699999999,-82.70366899999999,El Refugio,9.637712475423452,-82.70594607528517,South American Restaurant
31,Playa Chiquita,9.637402699999999,-82.70366899999999,mar verde lodge,9.63669,-82.706087,Hotel
32,Playa Chiquita,9.637402699999999,-82.70366899999999,Shiva Inn,9.637268703480554,-82.70723733241317,Gluten-free Restaurant
